subcategory,requirement
Development Control ,Para 4.1.2 
Development Control ,Para 4.1.3 
Access into State Land ,Para 4.1.4 
Existing Underground Structures,Para 4.1.5 
Deviations from Planning Requirements ,Para 4.1.6 
Serviced Apartments II (SA2) ,Para 4.2.5 
Serviced Apartments II (SA2) ,Para 4.2.6 
Serviced Apartments II (SA2) ,Para 4.2.7 
Serviced Apartments II (SA2) ,Para 4.2.8 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.9 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.10 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.11 
Early Childhood Development Centre (ECDC) Facility,"Para 4.2.12, reference 4.2"
Early Childhood Development Centre (ECDC) Facility,Para 4.2.13 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.14 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.15 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.16 
Early Childhood Development Centre (ECDC) Facility,Para 4.2.17 